"File","Title","Type","Repo","Status","Detail"
"US-I5-repost-trainer-posts.md","US-I5 - Repost Trainer Posts (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/75"
"US-I6-edit-delete-own-posts.md","US-I6 - Edit and Delete Own Posts (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/76"
"US-I7-view-member-only-content.md","US-I7 - View Member-Only Content (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/77"
"US-O2-like-public-posts.md","US-O2 - Like Public Posts (Outsider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/78"
"US-O3-share-public-posts.md","US-O3 - Share Public Posts (Outsider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/79"
"US-O4-view-trainer-content.md","US-O4 - View Trainer Content (Outsider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/80"
"US-O5-apply-for-membership.md","US-O5 - Apply for Membership (Outsider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/81"
"US-T1-create-educational-posts.md","US-T1 - Create Educational Posts (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/82"
"US-T2-upload-exercise-demonstrations.md","US-T2 - Upload Exercise Demonstrations (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/83"
"US-T3-repost-member-transformation-posts.md","US-T3 - Repost Member Transformation Posts (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/84"
"US-T4-provide-professional-feedback.md","US-T4 - Provide Professional Feedback (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/85"
"US-T5-like-and-share-posts.md","US-T5 - Like and Share Posts (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/86"
"US-T6-manage-own-posts.md","US-T6 - Manage Own Posts (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/87"
"US-T7-engage-with-members.md","US-T7 - Engage with Members (Trainer)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/88"
